wavelength,absorption,publication,medium,attenuation,scattering,attenuation_error,absorption_error,measurement
564.0,0.0057,bricaud95,plankton,,,,,
566.0,0.0055000000000000005,bricaud95,plankton,,,,,
568.0,0.005399999999999999,bricaud95,plankton,,,,,
570.0,0.0053,bricaud95,plankton,,,,,
572.0,0.0053,bricaud95,plankton,,,,,
574.0,0.0052,bricaud95,plankton,,,,,
576.0,0.0052,bricaud95,plankton,,,,,
578.0,0.0052,bricaud95,plankton,,,,,
580.0,0.0053,bricaud95,plankton,,,,,
582.0,0.005399999999999999,bricaud95,plankton,,,,,
584.0,0.0055000000000000005,bricaud95,plankton,,,,,
586.0,0.0055000000000000005,bricaud95,plankton,,,,,
588.0,0.0056,bricaud95,plankton,,,,,
590.0,0.0056,bricaud95,plankton,,,,,
592.0,0.0057,bricaud95,plankton,,,,,
594.0,0.0056,bricaud95,plankton,,,,,
596.0,0.0056,bricaud95,plankton,,,,,
598.0,0.0055000000000000005,bricaud95,plankton,,,,,
600.0,0.005399999999999999,bricaud95,plankton,,,,,
602.0,0.005399999999999999,bricaud95,plankton,,,,,
604.0,0.0055000000000000005,bricaud95,plankton,,,,,
606.0,0.0055000000000000005,bricaud95,plankton,,,,,
608.0,0.0056,bricaud95,plankton,,,,,
610.0,0.0057,bricaud95,plankton,,,,,
612.0,0.0059,bricaud95,plankton,,,,,
614.0,0.006,bricaud95,plankton,,,,,
616.0,0.006200000000000001,bricaud95,plankton,,,,,
618.0,0.0063,bricaud95,plankton,,,,,
620.0,0.0065,bricaud95,plankton,,,,,
622.0,0.006600000000000001,bricaud95,plankton,,,,,
624.0,0.0067,bricaud95,plankton,,,,,
626.0,0.0068,bricaud95,plankton,,,,,
628.0,0.0069,bricaud95,plankton,,,,,
630.0,0.0071,bricaud95,plankton,,,,,
632.0,0.0073,bricaud95,plankton,,,,,
634.0,0.0073999999999999995,bricaud95,plankton,,,,,
636.0,0.0075,bricaud95,plankton,,,,,
638.0,0.007600000000000001,bricaud95,plankton,,,,,
640.0,0.0077,bricaud95,plankton,,,,,
642.0,0.0078,bricaud95,plankton,,,,,
644.0,0.007899999999999999,bricaud95,plankton,,,,,
646.0,0.008,bricaud95,plankton,,,,,
648.0,0.0081,bricaud95,plankton,,,,,
650.0,0.0083,bricaud95,plankton,,,,,
652.0,0.0085,bricaud95,plankton,,,,,
654.0,0.0089,bricaud95,plankton,,,,,
656.0,0.0095,bricaud95,plankton,,,,,
658.0,0.0104,bricaud95,plankton,,,,,
660.0,0.0115,bricaud95,plankton,,,,,
662.0,0.012899999999999998,bricaud95,plankton,,,,,
664.0,0.0144,bricaud95,plankton,,,,,
666.0,0.0161,bricaud95,plankton,,,,,
668.0,0.0176,bricaud95,plankton,,,,,
670.0,0.0189,bricaud95,plankton,,,,,
672.0,0.0197,bricaud95,plankton,,,,,
674.0,0.0201,bricaud95,plankton,,,,,
675.0,0.0201,bricaud95,plankton,,,,,
676.0,0.02,bricaud95,plankton,,,,,
678.0,0.0193,bricaud95,plankton,,,,,
680.0,0.0182,bricaud95,plankton,,,,,
682.0,0.0166,bricaud95,plankton,,,,,
684.0,0.0145,bricaud95,plankton,,,,,
686.0,0.012400000000000001,bricaud95,plankton,,,,,
688.0,0.0102,bricaud95,plankton,,,,,
690.0,0.0083,bricaud95,plankton,,,,,
692.0,0.0067,bricaud95,plankton,,,,,
694.0,0.005399999999999999,bricaud95,plankton,,,,,
696.0,0.0044,bricaud95,plankton,,,,,
698.0,0.0036,bricaud95,plankton,,,,,
700.0,0.003,bricaud95,plankton,,,,,
300.0,0.038200000000000005,buiteveld94,pure water,,,,,
302.0,0.0361,buiteveld94,pure water,,,,,
304.0,0.0341,buiteveld94,pure water,,,,,
306.0,0.0323,buiteveld94,pure water,,,,,
308.0,0.0305,buiteveld94,pure water,,,,,
310.0,0.0288,buiteveld94,pure water,,,,,
312.0,0.0272,buiteveld94,pure water,,,,,
314.0,0.0257,buiteveld94,pure water,,,,,
316.0,0.0242,buiteveld94,pure water,,,,,
318.0,0.0228,buiteveld94,pure water,,,,,
320.0,0.0215,buiteveld94,pure water,,,,,
322.0,0.0203,buiteveld94,pure water,,,,,
324.0,0.019100000000000002,buiteveld94,pure water,,,,,
326.0,0.018000000000000002,buiteveld94,pure water,,,,,
328.0,0.017,buiteveld94,pure water,,,,,
