# Action spectra of TEMIS UV v2.0 data products
# ---------------------------------------------
#
# Implemented in TEMIS UV v2.0 processing:
#   Erythemal  = CIE-98, cf. Webb, A.R. et al. (2011)
#   Vitamin-D  = CIE-174, cf. Bouillon, R. et al. (2006)
#   DNA-damage = Setlow, R.B. (1974)
#                Bernhard, G. and Seckmeyer, G. (1997)
#
# For more information, see
# http://www.temis.nl/uvradiation/product/action.html
#
#
# Action spectrum data at 0.1 nm interval, produced from
# the implementation by Marc Allaart (KNMI, April 2017).
#
#
#
,wavelength,Erythemal,DNA-damage,Vitamin-D
205,270.5,1.0,25.8742,0.2055
206,270.6,1.0,25.8259,0.2076
207,270.7,1.0,25.7771,0.2097
208,270.8,1.0,25.7279,0.2118
209,270.9,1.0,25.6783,0.2139
210,271.0,1.0,25.6282,0.216
211,271.1,1.0,25.5777,0.2182
212,271.2,1.0,25.5266,0.2204
213,271.3,1.0,25.4752,0.2226
214,271.4,1.0,25.4233,0.2248
215,271.5,1.0,25.371,0.227
216,271.6,1.0,25.3182,0.2292
217,271.7,1.0,25.2649,0.2314
218,271.8,1.0,25.2111,0.2336
219,271.9,1.0,25.157,0.2358
220,272.0,1.0,25.1023,0.238
221,272.1,1.0,25.0471,0.2405
222,272.2,1.0,24.9915,0.243
223,272.3,1.0,24.9354,0.2455
224,272.4,1.0,24.8788,0.248
225,272.5,1.0,24.8218,0.2505
226,272.6,1.0,24.7642,0.253
227,272.7,1.0,24.7062,0.2555
228,272.8,1.0,24.6477,0.258
229,272.9,1.0,24.5887,0.2605
230,273.0,1.0,24.5291,0.263
231,273.1,1.0,24.4691,0.2656
232,273.2,1.0,24.4086,0.2682
233,273.3,1.0,24.3476,0.2708
234,273.4,1.0,24.2861,0.2734
235,273.5,1.0,24.2241,0.276
236,273.6,1.0,24.1616,0.2786
237,273.7,1.0,24.0985,0.2812
238,273.8,1.0,24.035,0.2838
239,273.9,1.0,23.9709,0.2864
240,274.0,1.0,23.9063,0.289
241,274.1,1.0,23.8413,0.2918
242,274.2,1.0,23.7756,0.2946
243,274.3,1.0,23.7095,0.297401
244,274.4,1.0,23.6428,0.3002
245,274.5,1.0,23.5756,0.303
