,wavelength,excitation,emission
13,315.0,,0.3334039828072939
14,316.0,,0.3682787138298407
15,317.0,,0.4087903497336895
16,318.0,,0.4412757286273026
17,319.0,,0.4805051187370053
18,320.0,,0.5168121802225737
19,321.0,,0.5532631428409638
20,322.0,,0.5921507196754481
21,323.0,,0.6265040622783032
22,324.0,,0.663085707065894
23,325.0,,0.702242778244739
24,326.0,,0.7367193480746379
25,327.0,,0.7687963074470691
26,328.0,,0.7969925375985916
27,329.0,,0.8240746515380853
28,330.0,,0.8508786177834708
29,331.0,,0.8795627200978364
30,332.0,,0.9069154107687368
31,333.0,,0.9281425177234554
32,334.0,,0.9434609900168124
33,335.0,,0.9568670972191846
34,336.0,,0.9678389330500542
35,337.0,,0.980782186028116
36,338.0,,0.9864334412663924
37,339.0,,0.9928057086539962
